id,name,domain,tech_op,idx_type,subline_tech_op
1694,高开低走,港股,,TECH_SPECIAL,
1695,高开高走,港股,,TECH_SPECIAL,
1696,鹤立鸡群,港股,,TECH_SPECIAL,
1697,黄昏之星,港股,,TECH_SPECIAL,
1698,黄金坑,港股,,TECH_SPECIAL,
1741,揉搓线,股票,,TECH_SPECIAL,
1714,中线跌破,股票,,TECH_SPECIAL,
1715,短线跌破,股票,,TECH_SPECIAL,
1707,实体涨幅,股票,,TECH_SPECIAL,
1708,实体跌幅,股票,,TECH_SPECIAL,
1710,明显缩量,股票,,TECH_SPECIAL,
1712,短线突破,股票,,TECH_SPECIAL,
1717,实体跌幅,港股,,TECH_SPECIAL,
1718,明显放量,港股,,TECH_SPECIAL,
1719,明显缩量,港股,,TECH_SPECIAL,
1720,短线突破,港股,,TECH_SPECIAL,
1721,中线突破,港股,,TECH_SPECIAL,
1722,中线跌破,港股,,TECH_SPECIAL,
1723,短线跌破,港股,,TECH_SPECIAL,
1744,长阳涨停,股票,,TECH_SPECIAL,
1745,t字涨停,股票,,TECH_SPECIAL,
1746,放量大阴线,股票,,TECH_SPECIAL,
1747,高开大阴线,股票,,TECH_SPECIAL,
1748,双阴线,股票,,TECH_SPECIAL,
1749,高开阴线,股票,,TECH_SPECIAL,
1750,长下影小阴线,股票,,TECH_SPECIAL,
1751,长上影小阳线,股票,,TECH_SPECIAL,
1752,放量假阴线,股票,,TECH_SPECIAL,
1753,巨量阴线,股票,,TECH_SPECIAL,
1777,渔家得利,股票,"[""渔家出海"",""卖出信号"",""高位"",""买入信号""]",TECH_LINES,
1770,psy,股票,"[""低位"",""死叉"",""卖出信号"",""拐头向下"",""走平"",""下移"",""拐头向上"",""金叉"",""上移"",""超买"",""顶背离"",""高位"",""底背离"",""买入信号"",""超卖""]",TECH_LINES,"{""psyma值"":[""低位"",""走平"",""拐头向下"",""下移"",""拐头向上"",""高位"",""上移""]}"
1766,阴线多于阳线,股票,,TECH_SPECIAL,
1765,阳线多于阴线,股票,,TECH_SPECIAL,
1767,上涨多于下跌,股票,,TECH_SPECIAL,
1768,下跌多于上涨,股票,,TECH_SPECIAL,
1791,sar,股票,"[""红圈"",""卖出信号"",""下移"",""翻红"",""绿圈"",""买入信号"",""上移"",""翻绿""]",TECH_LINES,
1796,两阳夹红十字星,股票,,TECH_SPECIAL,
1797,两阳夹阴十字星,股票,,TECH_SPECIAL,
1798,两阳夹十字星,股票,,TECH_SPECIAL,
1829,开盘价创新低,股票,,TECH_SPECIAL,
1830,最高价创新低,股票,,TECH_SPECIAL,
1831,最低价创新低,股票,,TECH_SPECIAL,
1832,diff创新高,股票,,TECH_SPECIAL,
